Key,Bee_Detections,Temperature
4.8_05-06-18_14,5631,30.023375
4.8_05-23-18_8,1411,21.89825
4.8_05-27-18_19,8168,22.88275
4.8_05-09-18_14,5303,29.781
4.8_05-09-18_17,2344,29.078
4.8_05-09-18_16,3554,29.632625
4.8_05-09-18_11,4085,33.4605
4.8_05-09-18_10,3715,29.62475
4.8_05-09-18_13,2811,30.124625
4.8_04-28-18_19,6100,27.10125
4.8_05-27-18_10,2191,24.382625
4.8_05-27-18_13,3448,25.523375
4.8_05-27-18_12,862,26.179375
4.8_05-27-18_15,5383,24.617125
4.8_05-09-18_18,4407,28.47625
4.8_05-27-18_17,3552,24.1715
4.8_05-12-18_11,1494,19.01525
4.8_05-12-18_10,1391,19.67925
4.8_04-29-18_12,2891,32.1875
4.8_04-29-18_13,5638,29.413625
4.8_04-29-18_14,11050,28.164
4.8_05-12-18_14,2190,19.15575
4.8_04-29-18_16,14877,27.234125
4.8_04-29-18_17,5587,25.382625
4.8_05-12-18_19,258,18.156
4.8_04-29-18_19,865,21.562
4.8_05-22-18_8,633,19.952875
4.8_05-20-18_16,2852,27.34375
4.8_05-20-18_17,1385,25.8825
4.8_05-20-18_14,2420,27.031
4.8_05-20-18_13,1827,27.992
4.8_05-20-18_10,903,29.0155
4.8_05-20-18_11,1876,31.3355
4.8_04-30-18_12,186,14.132375
4.8_04-30-18_13,497,15.6325
4.8_04-30-18_10,2698,11.953125
4.8_05-14-18_18,5467,23.366875
4.8_04-30-18_17,744,12.9685
4.8_04-30-18_14,2497,14.8745
4.8_04-30-18_15,5006,15.203
4.8_05-14-18_17,1935,24.22625
4.8_05-06-18_13,1679,30.6015
4.8_05-06-18_10,3059,32.023125
4.8_05-14-18_14,3598,24.921375
4.8_05-14-18_13,5685,25.515375
4.8_05-06-18_17,2888,29.76525
4.8_05-15-18_18,565,24.367125
4.8_05-14-18_10,6324,26.59325
4.8_05-15-18_17,5937,25.07025
4.8_05-15-18_14,3380,25.5155
4.8_05-15-18_15,6062,25.523375
4.8_05-15-18_13,4605,26.281125
4.8_05-15-18_10,4148,28.195125
4.8_05-15-18_11,4505,30.47625
4.8_04-30-18_9,481,11.585625
4.8_05-13-18_10,2269,24.898
4.8_05-13-18_11,8416,27.32025
4.8_05-13-18_13,6215,24.031
4.8_05-13-18_14,3592,23.02325
4.8_05-13-18_16,7114,23.242
4.8_05-13-18_17,2955,23.1795
4.8_05-13-18_19,676,19.624625
4.8_05-22-18_14,1340,24.296625
4.8_05-22-18_15,7525,24.71075
4.8_05-22-18_17,830,23.71075
4.8_05-22-18_10,1678,22.273375
4.8_04-28-18_17,33138,30.664
4.8_05-22-18_12,1154,23.2575
4.8_05-22-18_13,2376,24.164
4.8_05-10-18_8,1205,21.58575
4.8_05-12-18_9,2570,17.75
4.8_05-22-18_19,1431,23.031125
4.8_05-29-18_17,24539,25.421375
4.8_05-10-18_19,2994,25.18725
4.8_05-29-18_14,10448,25.914
4.8_05-29-18_13,4235,26.75775
4.8_05-29-18_12,9138,29.031
4.8_05-29-18_10,7097,24.64025
4.8_05-10-18_13,1447,25.890625
4.8_05-10-18_11,4062,23.0625
4.8_05-26-18_9,1857,26.257625
4.8_05-10-18_17,1062,26.781125
4.8_05-10-18_16,5797,27.25775
4.8_05-29-18_19,8445,24.054625
4.8_05-10-18_14,1881,26.53875
4.8_05-25-18_8,1858,24.351125
4.8_05-29-18_15,7812,25.109
4.8_05-27-18_14,2413,24.695125
4.8_05-31-18_14,11466,26.851375
4.8_05-31-18_15,1901,27.171375
4.8_05-31-18_17,7459,26.905875
4.8_05-31-18_10,4933,28.06225
4.8_05-31-18_11,3735,31.718375
4.8_05-31-18_13,2781,28.3125
4.8_05-31-18_18,4528,26.781125
4.8_05-12-18_13,2148,19.421875
4.8_05-25-18_13,2917,29.60125
4.8_05-25-18_12,2839,32.5545
4.8_05-30-18_17,18432,27.125
4.8_05-25-18_10,3223,27.98425
4.8_05-30-18_11,3460,30.319875
4.8_05-25-18_16,11831,27.60125
4.8_05-30-18_13,4384,28.124625
4.8_05-25-18_14,1946,28.054625
4.8_05-12-18_15,4927,18.601125
4.8_05-25-18_18,12673,26.6795
4.8_05-30-18_19,58,23.98425
4.8_05-30-18_15,25229,27.374625
4.8_06-01-18_17,7305,22.16375
4.8_05-12-18_17,1474,18.242
4.8_05-30-18_14,6905,27.226125
4.8_05-31-18_9,4700,25.664
4.8_04-29-18_9,1303,24.710875
4.8_05-14-18_9,970,25.23425
4.8_05-25-18_17,5549,27.218375
4.8_06-01-18_13,2462,24.67925
4.8_05-30-18_10,7028,27.8515
4.8_05-13-18_9,2908,22.038875
4.8_06-01-18_8,3204,22.17175
4.8_05-20-18_19,670,23.546625
