"FRAME","COUNT"
"0","0"
"1","1"
"2","5"
"3","2"
"4","4"
"5","4"
"6","5"
"7","5"
"8","8"
"9","5"
"10","4"
"11","7"
"12","7"
"13","7"
"14","4"
"15","6"
"16","7"
"17","4"
"18","2"
"19","2"
"20","2"
"21","2"
"22","2"
"23","1"
"24","3"
"25","2"
"26","3"
"27","7"
"28","5"
"29","5"
"30","6"
"31","6"
"32","10"
"33","8"
"34","10"
"35","12"
"36","12"
"37","13"
"38","14"
"39","11"
"40","11"
"41","8"
"42","4"
"43","7"
"44","9"
"45","9"
"46","12"
"47","14"
"48","10"
"49","12"
"50","13"
"51","4"
"52","10"
"53","12"
"54","15"
"55","12"
"56","11"
"57","12"
"58","13"
"59","14"
"60","11"
"61","8"
"62","7"
"63","10"
"64","11"
"65","11"
"66","8"
"67","7"
"68","5"
"69","6"
"70","6"
"71","9"
"72","16"
"73","11"
"74","11"
"75","8"
"76","8"
"77","9"
"78","8"
"79","13"
"80","14"
"81","13"
"82","11"
"83","14"
"84","16"
"85","8"
"86","5"
"87","13"
"88","13"
"89","12"
"90","10"
"91","11"
"92","14"
"93","11"
"94","7"
"95","13"
"96","13"
"97","11"
"98","14"
"99","9"
"100","10"
"101","13"
"102","12"
"103","11"
"104","14"
"105","15"
"106","13"
"107","12"
"108","8"
"109","6"
"110","12"
"111","12"
"112","16"
"113","13"
"114","16"
"115","10"
"116","8"
"117","11"
"118","10"
"119","12"
"120","11"
"121","11"
"122","13"
"123","10"
"124","8"
"125","11"
"126","13"
"127","10"
"128","11"
"129","10"
"130","11"
"131","9"
"132","10"
"133","12"
"134","13"
"135","14"
"136","14"
"137","12"
"138","11"
"139","13"
"140","7"
"141","11"
"142","12"
"143","12"
"144","13"
"145","10"
"146","14"
"147","14"
"148","10"
"149","10"
"150","12"
"151","14"
"152","17"
"153","16"
"154","16"
"155","11"
"156","17"
"157","15"
"158","14"
"159","13"
"160","13"
"161","17"
"162","17"
"163","13"
"164","13"
"165","17"
"166","13"
"167","14"
"168","14"
"169","16"
"170","14"
"171","15"
"172","12"
"173","15"
"174","11"
"175","11"
"176","7"
"177","7"
"178","7"
"179","5"
"180","10"
"181","9"
"182","9"
"183","10"
"184","7"
"185","9"
"186","10"
"187","14"
"188","12"
"189","11"
"190","10"
"191","6"
"192","9"
"193","12"
"194","13"
"195","12"
"196","12"
"197","13"
"198","10"
"199","10"
"200","3"
"201","5"
"202","6"
"203","6"
"204","10"
"205","8"
"206","9"
"207","11"
"208","9"
"209","8"
"210","5"
"211","7"
"212","5"
"213","4"
"214","4"
"215","6"
"216","9"
"217","13"
"218","8"
"219","8"
"220","9"
"221","11"
"222","8"
"223","3"
"224","5"
"225","8"
"226","9"
"227","8"
"228","9"
"229","9"
"230","7"
"231","7"
"232","8"
"233","7"
"234","8"
"235","10"
"236","8"
"237","10"
"238","8"
"239","6"
"240","5"
"241","6"
"242","5"
"243","8"
"244","6"
"245","5"
"246","5"
"247","6"
"248","7"
"249","7"
"250","5"
"251","5"
"252","5"
"253","3"
"254","4"
"255","4"
"256","5"
"257","6"
"258","4"
"259","6"
"260","5"
"261","5"
"262","5"
"263","5"
"264","14"
"265","7"
"266","5"
"267","8"
"268","3"
"269","2"
"270","3"
"271","4"
"272","6"
"273","6"
"274","7"
"275","5"
"276","5"
"277","6"
"278","7"
"279","5"
"280","6"
"281","7"
"282","6"
"283","8"
"284","6"
"285","6"
"286","8"
"287","11"
"288","5"
"289","3"
"290","6"
"291","7"
"292","7"
"293","12"
"294","8"
"295","7"
"296","9"
"297","8"
"298","9"
"299","9"
"300","7"
"301","5"
"302","11"
"303","8"
"304","8"
"305","5"
"306","8"
"307","4"
"308","9"
"309","10"
"310","7"
"311","11"
"312","10"
"313","12"
"314","11"
"315","10"
"316","11"
"317","14"
"318","12"
"319","11"
"320","11"
"321","12"
"322","13"
"323","10"
"324","10"
"325","9"
"326","11"
"327","12"
"328","11"
"329","8"
"330","8"
"331","11"
"332","15"
"333","10"
"334","9"
"335","9"
"336","11"
"337","13"
"338","15"
"339","12"
"340","11"
"341","13"
"342","9"
"343","7"
"344","11"
"345","11"
"346","13"
"347","14"
"348","10"
"349","9"
"350","9"
"351","8"
"352","9"
"353","8"
"354","5"
"355","8"
"356","5"
"357","9"
"358","8"
"359","8"
"360","10"
"361","10"
"362","8"
"363","8"
"364","8"
"365","7"
"366","7"
"367","8"
"368","10"
"369","9"
"370","8"
"371","10"
"372","11"
"373","14"
"374","10"
"375","9"
"376","7"
"377","7"
"378","6"
"379","9"
"380","6"
"381","8"
"382","12"
"383","7"
"384","8"
"385","8"
"386","9"
"387","6"
"388","8"
"389","8"
"390","9"
"391","9"
"392","12"
"393","11"
"394","11"
"395","10"
"396","10"
"397","12"
"398","11"
"399","8"
"400","12"
"401","12"
"402","12"
"403","10"
"404","8"
"405","17"
"406","14"
"407","9"
"408","14"
"409","9"
"410","10"
"411","10"
"412","15"
"413","14"
"414","13"
"415","13"
"416","11"
"417","12"
"418","11"
"419","11"
"420","14"
"421","10"
"422","13"
"423","10"
"424","8"
"425","11"
"426","8"
"427","8"
"428","12"
"429","9"
"430","10"
"431","11"
"432","13"
"433","14"
"434","19"
"435","12"
"436","14"
"437","16"
"438","11"
"439","13"
"440","15"
"441","9"
"442","13"
"443","13"
"444","14"
"445","15"
"446","15"
"447","10"
"448","8"
"449","10"
"450","13"
"451","13"
"452","9"
"453","12"
"454","13"
"455","17"
"456","14"
"457","13"
"458","17"
"459","19"
"460","16"
"461","15"
"462","15"
"463","14"
"464","18"
"465","14"
"466","11"
"467","13"
"468","10"
"469","13"
"470","13"
"471","15"
"472","13"
"473","15"
"474","11"
"475","10"
"476","13"
"477","14"
"478","14"
"479","15"
"480","12"
"481","13"
"482","14"
"483","13"
"484","13"
"485","10"
"486","10"
"487","12"
"488","10"
"489","11"
"490","11"
"491","12"
"492","12"
"493","13"
"494","13"
"495","12"
"496","9"
"497","8"
"498","11"
"499","9"
"500","8"
"501","5"
"502","10"
"503","12"
"504","14"
"505","19"
"506","16"
"507","17"
"508","19"
"509","17"
"510","16"
"511","15"
"512","20"
"513","14"
"514","15"
"515","9"
"516","9"
"517","14"
"518","11"
"519","13"
"520","10"
"521","12"
"522","10"
"523","14"
"524","13"
"525","16"
"526","17"
"527","11"
"528","14"
"529","8"
"530","10"
"531","11"
"532","8"
"533","10"
"534","11"
"535","8"
"536","11"
"537","9"
"538","11"
"539","8"
"540","9"
"541","11"
"542","11"
"543","13"
"544","8"
"545","9"
"546","8"
"547","11"
"548","9"
"549","11"
"550","10"
"551","15"
"552","10"
"553","9"
"554","7"
"555","9"
"556","11"
"557","12"
"558","9"
"559","9"
"560","12"
"561","13"
"562","9"
"563","16"
"564","16"
"565","12"
"566","13"
"567","17"
"568","15"
"569","15"
"570","16"
"571","14"
"572","16"
"573","11"
"574","12"
"575","12"
"576","10"
"577","12"
"578","14"
"579","18"
"580","17"
"581","23"
"582","21"
"583","16"
"584","19"
"585","16"
"586","16"
"587","13"
"588","12"
"589","16"
"590","18"
"591","14"
"592","12"
"593","13"
"594","16"
"595","17"
"596","18"
"597","14"
"598","14"
"599","15"
"600","13"
"601","16"
"602","18"
"603","15"
"604","17"
"605","13"
"606","19"
"607","14"
"608","13"
"609","15"
"610","18"
"611","17"
"612","18"
"613","15"
"614","18"
"615","15"
"616","19"
"617","22"
"618","21"
"619","20"
"620","20"
"621","17"
"622","16"
"623","12"
"624","13"
"625","14"
"626","14"
"627","11"
"628","11"
"629","13"
"630","13"
"631","15"
"632","18"
"633","16"
"634","11"
"635","14"
"636","16"
"637","14"
"638","16"
"639","15"
"640","19"
"641","14"
"642","15"
"643","9"
"644","9"
"645","9"
"646","13"
"647","13"
"648","16"
"649","13"
"650","13"
"651","12"
"652","10"
"653","9"
"654","12"
"655","13"
"656","13"
"657","12"
"658","8"
"659","10"
"660","13"
"661","7"
"662","12"
"663","10"
"664","14"
"665","12"
"666","13"
"667","14"
"668","9"
"669","10"
"670","8"
"671","9"
"672","7"
"673","9"
"674","6"
"675","8"
"676","8"
"677","11"
"678","10"
"679","9"
"680","11"
"681","11"
"682","14"
"683","12"
"684","17"
"685","12"
"686","10"
"687","13"
"688","9"
"689","9"
"690","10"
"691","7"
"692","9"
"693","9"
"694","11"
"695","7"
"696","8"
"697","9"
"698","11"
"699","9"
"700","14"
"701","14"
"702","14"
"703","14"
"704","15"
"705","18"
"706","15"
"707","13"
"708","16"
"709","17"
"710","15"
"711","13"
"712","13"
"713","12"
"714","11"
"715","17"
