"FRAME","COUNT"
"0","0"
"1","0"
"2","0"
"3","1"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","1"
"12","0"
"13","0"
"14","0"
"15","1"
"16","1"
"17","1"
"18","0"
"19","1"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","1"
"30","0"
"31","0"
"32","1"
"33","1"
"34","0"
"35","0"
"36","2"
"37","2"
"38","1"
"39","1"
"40","0"
"41","0"
"42","1"
"43","1"
"44","1"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","1"
"54","0"
"55","0"
"56","0"
"57","0"
"58","1"
"59","0"
"60","1"
"61","0"
"62","1"
"63","1"
"64","0"
"65","2"
"66","1"
"67","0"
"68","0"
"69","0"
"70","1"
"71","2"
"72","0"
"73","0"
"74","0"
"75","0"
"76","1"
"77","1"
"78","2"
"79","1"
"80","1"
"81","0"
"82","0"
"83","0"
"84","0"
"85","1"
"86","0"
"87","0"
"88","0"
"89","0"
"90","0"
"91","1"
"92","1"
"93","1"
"94","2"
"95","1"
"96","1"
"97","1"
"98","1"
"99","3"
"100","1"
"101","1"
"102","3"
"103","1"
"104","0"
"105","2"
"106","0"
"107","1"
"108","0"
"109","1"
"110","1"
"111","2"
"112","1"
"113","0"
"114","1"
"115","0"
"116","2"
"117","0"
"118","0"
"119","0"
"120","0"
"121","0"
"122","0"
"123","0"
"124","0"
"125","1"
"126","0"
"127","0"
"128","0"
"129","0"
"130","0"
"131","0"
"132","0"
"133","0"
"134","1"
"135","1"
"136","1"
"137","1"
"138","0"
"139","1"
"140","0"
"141","0"
"142","0"
"143","0"
"144","1"
"145","1"
"146","0"
"147","1"
"148","2"
"149","2"
"150","1"
"151","1"
"152","3"
"153","1"
"154","4"
"155","1"
"156","1"
"157","0"
"158","1"
"159","0"
"160","0"
"161","1"
"162","0"
"163","0"
"164","0"
"165","0"
"166","1"
"167","2"
"168","0"
"169","2"
"170","0"
"171","1"
"172","0"
"173","0"
"174","0"
"175","0"
"176","0"
"177","0"
"178","1"
"179","0"
"180","2"
"181","0"
"182","0"
"183","1"
"184","1"
"185","0"
"186","0"
"187","0"
"188","1"
"189","2"
"190","1"
"191","1"
"192","1"
"193","1"
"194","1"
"195","1"
"196","1"
"197","2"
"198","1"
"199","2"
"200","1"
"201","1"
"202","2"
"203","2"
"204","1"
"205","1"
"206","2"
"207","3"
"208","1"
"209","1"
"210","2"
"211","1"
"212","1"
"213","0"
"214","0"
"215","0"
"216","0"
"217","0"
"218","0"
"219","1"
"220","1"
"221","2"
"222","2"
"223","1"
"224","1"
"225","1"
"226","1"
"227","1"
"228","1"
"229","2"
"230","2"
"231","1"
"232","1"
"233","1"
"234","3"
"235","2"
"236","2"
"237","2"
"238","2"
"239","2"
"240","1"
"241","0"
"242","0"
"243","0"
"244","0"
"245","0"
"246","0"
"247","0"
"248","1"
"249","0"
"250","0"
"251","0"
"252","0"
"253","0"
"254","0"
"255","0"
"256","0"
"257","0"
"258","0"
"259","0"
"260","1"
"261","1"
"262","1"
"263","0"
"264","0"
"265","0"
"266","0"
"267","0"
"268","1"
"269","0"
"270","0"
"271","1"
"272","2"
"273","1"
"274","0"
"275","0"
"276","0"
"277","2"
"278","2"
"279","1"
"280","0"
"281","0"
"282","0"
"283","2"
"284","1"
"285","1"
"286","1"
"287","1"
"288","1"
"289","1"
"290","0"
"291","0"
"292","0"
"293","1"
"294","1"
"295","1"
"296","1"
"297","0"
"298","2"
"299","1"
"300","0"
"301","0"
"302","0"
"303","1"
"304","1"
"305","0"
"306","0"
"307","1"
"308","0"
"309","0"
"310","1"
"311","0"
"312","1"
"313","1"
"314","2"
"315","1"
"316","1"
"317","1"
"318","0"
"319","0"
"320","0"
"321","0"
"322","0"
"323","0"
"324","0"
"325","0"
"326","0"
"327","1"
"328","0"
"329","0"
"330","2"
"331","0"
"332","1"
"333","0"
"334","1"
"335","1"
"336","1"
"337","2"
"338","0"
"339","1"
"340","0"
"341","0"
"342","0"
"343","0"
"344","0"
"345","0"
"346","0"
"347","0"
"348","0"
"349","0"
"350","0"
"351","0"
"352","0"
"353","0"
