"FRAME","COUNT"
"0","0"
"1","1"
"2","5"
"3","3"
"4","4"
"5","5"
"6","6"
"7","6"
"8","8"
"9","5"
"10","4"
"11","7"
"12","7"
"13","7"
"14","4"
"15","7"
"16","7"
"17","5"
"18","3"
"19","2"
"20","2"
"21","2"
"22","2"
"23","1"
"24","3"
"25","2"
"26","3"
"27","7"
"28","6"
"29","6"
"30","5"
"31","7"
"32","9"
"33","8"
"34","10"
"35","12"
"36","13"
"37","14"
"38","15"
"39","12"
"40","12"
"41","8"
"42","5"
"43","6"
"44","10"
"45","9"
"46","12"
"47","12"
"48","11"
"49","9"
"50","12"
"51","4"
"52","10"
"53","12"
"54","15"
"55","12"
"56","12"
"57","12"
"58","14"
"59","15"
"60","11"
"61","8"
"62","7"
"63","11"
"64","12"
"65","11"
"66","9"
"67","9"
"68","6"
"69","7"
"70","8"
"71","10"
"72","14"
"73","9"
"74","10"
"75","10"
"76","9"
"77","9"
"78","9"
"79","12"
"80","11"
"81","11"
"82","11"
"83","15"
"84","15"
"85","8"
"86","6"
"87","12"
"88","13"
"89","12"
"90","11"
"91","10"
"92","14"
"93","11"
"94","7"
"95","13"
"96","12"
"97","13"
"98","17"
"99","11"
"100","13"
"101","14"
"102","12"
"103","12"
"104","16"
"105","14"
"106","14"
"107","10"
"108","8"
"109","5"
"110","11"
"111","10"
"112","15"
"113","13"
"114","16"
"115","10"
"116","9"
"117","11"
"118","10"
"119","13"
"120","10"
"121","10"
"122","12"
"123","9"
"124","9"
"125","12"
"126","14"
"127","9"
"128","9"
"129","11"
"130","11"
"131","9"
"132","11"
"133","13"
"134","12"
"135","15"
"136","18"
"137","12"
"138","11"
"139","13"
"140","9"
"141","12"
"142","15"
"143","13"
"144","14"
"145","12"
"146","15"
"147","17"
"148","11"
"149","10"
"150","14"
"151","16"
"152","19"
"153","16"
"154","17"
"155","13"
"156","14"
"157","12"
"158","13"
"159","15"
"160","15"
"161","17"
"162","19"
"163","14"
"164","13"
"165","19"
"166","14"
"167","15"
"168","14"
"169","17"
"170","16"
"171","15"
"172","12"
"173","11"
"174","10"
"175","8"
"176","7"
"177","7"
"178","7"
"179","6"
"180","10"
"181","8"
"182","9"
"183","13"
"184","9"
"185","11"
"186","11"
"187","13"
"188","14"
"189","12"
"190","11"
"191","6"
"192","11"
"193","14"
"194","13"
"195","12"
"196","12"
"197","12"
"198","11"
"199","10"
"200","3"
"201","5"
"202","5"
"203","5"
"204","9"
"205","8"
"206","8"
"207","11"
"208","9"
"209","6"
"210","5"
"211","6"
"212","4"
"213","4"
"214","5"
"215","6"
"216","9"
"217","12"
"218","7"
"219","8"
"220","10"
"221","11"
"222","7"
"223","3"
"224","5"
"225","6"
"226","7"
"227","8"
"228","7"
"229","7"
"230","6"
"231","7"
"232","8"
"233","6"
"234","7"
"235","10"
"236","8"
"237","8"
"238","8"
"239","7"
"240","5"
"241","7"
"242","4"
"243","9"
"244","6"
"245","5"
"246","5"
"247","7"
"248","7"
"249","6"
"250","5"
"251","5"
"252","6"
"253","4"
"254","4"
"255","6"
"256","5"
"257","7"
"258","4"
"259","5"
"260","5"
"261","5"
"262","5"
"263","5"
"264","13"
"265","6"
"266","5"
"267","9"
"268","3"
"269","3"
"270","4"
"271","5"
"272","7"
"273","6"
"274","7"
"275","5"
"276","6"
"277","7"
"278","9"
"279","5"
"280","6"
"281","8"
"282","6"
"283","8"
"284","7"
"285","7"
"286","6"
"287","9"
"288","4"
"289","4"
"290","7"
"291","8"
"292","7"
"293","11"
"294","7"
"295","7"
"296","9"
"297","8"
"298","8"
"299","8"
"300","7"
"301","4"
"302","11"
"303","8"
"304","6"
"305","6"
"306","9"
"307","5"
"308","10"
"309","7"
"310","7"
"311","11"
"312","12"
"313","12"
"314","11"
"315","10"
"316","11"
"317","13"
"318","11"
"319","15"
"320","12"
"321","11"
"322","12"
"323","11"
"324","10"
"325","11"
"326","11"
"327","12"
"328","12"
"329","9"
"330","8"
"331","11"
"332","15"
"333","11"
"334","10"
"335","10"
"336","14"
"337","13"
"338","16"
"339","15"
"340","13"
"341","15"
"342","11"
"343","10"
"344","12"
"345","12"
"346","14"
"347","13"
"348","12"
"349","10"
"350","10"
"351","10"
"352","10"
"353","9"
"354","6"
"355","9"
"356","6"
"357","10"
"358","9"
"359","10"
"360","10"
"361","9"
"362","9"
"363","8"
"364","9"
"365","9"
"366","7"
"367","8"
"368","10"
"369","10"
"370","10"
"371","13"
"372","13"
"373","15"
"374","12"
"375","11"
"376","10"
"377","9"
"378","7"
"379","9"
"380","10"
"381","9"
"382","13"
"383","9"
"384","10"
"385","10"
"386","11"
"387","7"
"388","7"
"389","10"
"390","9"
"391","11"
"392","14"
"393","11"
"394","11"
"395","11"
"396","10"
"397","12"
"398","12"
"399","10"
"400","13"
"401","13"
"402","12"
"403","10"
"404","9"
"405","17"
"406","15"
"407","11"
"408","12"
"409","11"
"410","11"
"411","10"
"412","14"
"413","15"
"414","11"
"415","12"
"416","10"
"417","12"
"418","11"
"419","10"
"420","14"
"421","11"
"422","13"
"423","10"
"424","9"
"425","9"
"426","7"
"427","10"
"428","11"
"429","9"
"430","9"
"431","12"
"432","13"
"433","14"
"434","20"
"435","11"
"436","13"
"437","14"
"438","11"
"439","14"
"440","14"
"441","10"
"442","12"
"443","13"
"444","12"
"445","16"
"446","14"
"447","10"
"448","10"
"449","11"
"450","14"
"451","13"
"452","11"
"453","11"
"454","13"
"455","15"
"456","14"
"457","14"
"458","17"
"459","18"
"460","15"
"461","13"
"462","16"
"463","13"
"464","16"
"465","14"
"466","11"
"467","14"
"468","11"
"469","14"
"470","14"
"471","15"
"472","13"
"473","15"
"474","13"
"475","11"
"476","13"
"477","12"
"478","15"
"479","14"
"480","12"
"481","13"
"482","13"
"483","13"
"484","14"
"485","10"
"486","10"
"487","10"
"488","10"
"489","11"
"490","11"
"491","12"
"492","12"
"493","12"
"494","14"
"495","11"
"496","9"
"497","8"
"498","11"
"499","10"
"500","8"
"501","5"
"502","10"
"503","12"
"504","14"
"505","17"
"506","16"
"507","17"
"508","18"
"509","17"
"510","16"
"511","15"
"512","20"
"513","12"
"514","16"
"515","11"
"516","9"
"517","15"
"518","11"
"519","13"
"520","10"
"521","11"
"522","10"
"523","14"
"524","10"
"525","16"
"526","17"
"527","10"
"528","14"
"529","8"
"530","10"
"531","11"
"532","8"
"533","10"
"534","11"
"535","8"
"536","11"
"537","9"
"538","10"
"539","8"
"540","9"
"541","13"
"542","10"
"543","12"
"544","7"
"545","8"
"546","7"
"547","11"
"548","8"
"549","12"
"550","10"
"551","13"
"552","10"
"553","8"
"554","7"
"555","9"
"556","11"
"557","10"
"558","5"
"559","7"
"560","12"
"561","12"
"562","10"
"563","17"
"564","16"
"565","12"
"566","14"
"567","17"
"568","16"
"569","15"
"570","16"
"571","16"
"572","18"
"573","13"
"574","14"
"575","11"
"576","11"
"577","14"
"578","17"
"579","19"
"580","18"
"581","22"
"582","21"
"583","16"
"584","18"
"585","16"
"586","15"
"587","13"
"588","12"
"589","16"
"590","17"
"591","15"
"592","12"
"593","14"
"594","17"
"595","18"
"596","18"
"597","16"
"598","16"
"599","16"
"600","14"
"601","16"
"602","16"
"603","15"
"604","17"
"605","14"
"606","19"
"607","16"
"608","15"
"609","16"
"610","19"
"611","18"
"612","16"
"613","17"
"614","18"
"615","17"
"616","19"
"617","22"
"618","20"
"619","19"
"620","21"
"621","17"
"622","17"
"623","12"
"624","14"
"625","15"
"626","14"
"627","11"
"628","12"
"629","14"
"630","14"
"631","16"
"632","18"
"633","17"
"634","12"
"635","13"
"636","17"
"637","18"
"638","17"
"639","16"
"640","20"
"641","15"
"642","15"
"643","8"
"644","9"
"645","8"
"646","10"
"647","13"
"648","13"
"649","12"
"650","10"
"651","12"
"652","10"
"653","8"
"654","11"
"655","13"
"656","13"
"657","13"
"658","8"
"659","9"
"660","13"
"661","7"
"662","12"
"663","10"
"664","11"
"665","11"
"666","11"
"667","12"
"668","9"
"669","8"
"670","7"
"671","8"
"672","9"
"673","7"
"674","7"
"675","9"
"676","8"
"677","12"
"678","9"
"679","10"
"680","12"
"681","12"
"682","15"
"683","13"
"684","14"
"685","12"
"686","11"
"687","12"
"688","8"
"689","8"
"690","10"
"691","7"
"692","9"
"693","9"
"694","11"
"695","8"
"696","7"
"697","8"
"698","10"
"699","9"
"700","12"
"701","14"
"702","12"
"703","12"
"704","14"
"705","17"
"706","15"
"707","12"
"708","14"
"709","14"
"710","14"
"711","12"
"712","10"
"713","11"
"714","11"
"715","16"
