"FRAME","COUNT"
"0","0"
"1","1"
"2","5"
"3","1"
"4","4"
"5","4"
"6","4"
"7","5"
"8","6"
"9","3"
"10","3"
"11","7"
"12","7"
"13","6"
"14","5"
"15","7"
"16","6"
"17","4"
"18","1"
"19","1"
"20","1"
"21","2"
"22","2"
"23","1"
"24","3"
"25","1"
"26","1"
"27","3"
"28","2"
"29","3"
"30","5"
"31","5"
"32","5"
"33","5"
"34","5"
"35","8"
"36","9"
"37","10"
"38","13"
"39","8"
"40","10"
"41","5"
"42","2"
"43","7"
"44","10"
"45","9"
"46","13"
"47","11"
"48","9"
"49","10"
"50","11"
"51","4"
"52","9"
"53","11"
"54","13"
"55","10"
"56","11"
"57","11"
"58","12"
"59","14"
"60","10"
"61","8"
"62","6"
"63","10"
"64","11"
"65","8"
"66","8"
"67","9"
"68","5"
"69","6"
"70","7"
"71","8"
"72","15"
"73","12"
"74","10"
"75","9"
"76","7"
"77","8"
"78","9"
"79","9"
"80","11"
"81","8"
"82","9"
"83","10"
"84","11"
"85","7"
"86","5"
"87","13"
"88","11"
"89","10"
"90","10"
"91","10"
"92","14"
"93","10"
"94","7"
"95","12"
"96","12"
"97","10"
"98","14"
"99","9"
"100","9"
"101","11"
"102","10"
"103","10"
"104","13"
"105","14"
"106","12"
"107","10"
"108","7"
"109","5"
"110","13"
"111","13"
"112","17"
"113","12"
"114","15"
"115","9"
"116","6"
"117","6"
"118","8"
"119","11"
"120","10"
"121","9"
"122","10"
"123","8"
"124","6"
"125","8"
"126","11"
"127","9"
"128","11"
"129","10"
"130","10"
"131","7"
"132","9"
"133","10"
"134","11"
"135","14"
"136","13"
"137","10"
"138","8"
"139","11"
"140","7"
"141","11"
"142","9"
"143","10"
"144","12"
"145","9"
"146","9"
"147","13"
"148","9"
"149","8"
"150","11"
"151","13"
"152","16"
"153","13"
"154","16"
"155","11"
"156","16"
"157","13"
"158","12"
"159","13"
"160","13"
"161","17"
"162","18"
"163","15"
"164","12"
"165","17"
"166","14"
"167","15"
"168","13"
"169","14"
"170","13"
"171","13"
"172","12"
"173","12"
"174","11"
"175","11"
"176","6"
"177","7"
"178","7"
"179","5"
"180","13"
"181","11"
"182","8"
"183","10"
"184","8"
"185","10"
"186","11"
"187","13"
"188","12"
"189","10"
"190","12"
"191","5"
"192","8"
"193","10"
"194","12"
"195","11"
"196","12"
"197","10"
"198","11"
"199","9"
"200","3"
"201","5"
"202","8"
"203","7"
"204","7"
"205","7"
"206","8"
"207","11"
"208","10"
"209","7"
"210","3"
"211","6"
"212","4"
"213","4"
"214","2"
"215","5"
"216","7"
"217","10"
"218","5"
"219","6"
"220","9"
"221","11"
"222","6"
"223","1"
"224","4"
"225","7"
"226","8"
"227","9"
"228","8"
"229","9"
"230","6"
"231","6"
"232","6"
"233","5"
"234","6"
"235","9"
"236","8"
"237","8"
"238","7"
"239","5"
"240","5"
"241","6"
"242","4"
"243","8"
"244","5"
"245","6"
"246","7"
"247","7"
"248","6"
"249","7"
"250","6"
"251","4"
"252","6"
"253","3"
"254","5"
"255","4"
"256","5"
"257","6"
"258","4"
"259","4"
"260","5"
"261","5"
"262","5"
"263","4"
"264","13"
"265","5"
"266","5"
"267","8"
"268","4"
"269","3"
"270","3"
"271","5"
"272","6"
"273","6"
"274","6"
"275","4"
"276","5"
"277","7"
"278","6"
"279","5"
"280","6"
"281","8"
"282","5"
"283","7"
"284","6"
"285","7"
"286","8"
"287","9"
"288","3"
"289","5"
"290","7"
"291","7"
"292","7"
"293","9"
"294","5"
"295","6"
"296","8"
"297","8"
"298","8"
"299","9"
"300","8"
"301","5"
"302","9"
"303","7"
"304","4"
"305","4"
"306","5"
"307","3"
"308","6"
"309","7"
"310","5"
"311","9"
"312","11"
"313","12"
"314","11"
"315","11"
"316","11"
"317","11"
"318","10"
"319","14"
"320","9"
"321","11"
"322","12"
"323","13"
"324","8"
"325","11"
"326","9"
"327","11"
"328","10"
"329","8"
"330","9"
"331","9"
"332","15"
"333","10"
"334","11"
"335","8"
"336","12"
"337","12"
"338","15"
"339","11"
"340","10"
"341","13"
"342","9"
"343","10"
"344","11"
"345","10"
"346","15"
"347","15"
"348","12"
"349","9"
"350","9"
"351","10"
"352","10"
"353","9"
"354","6"
"355","9"
"356","5"
"357","8"
"358","6"
"359","6"
"360","10"
"361","8"
"362","9"
"363","9"
"364","9"
"365","7"
"366","7"
"367","7"
"368","8"
"369","11"
"370","9"
"371","13"
"372","12"
"373","13"
"374","12"
"375","9"
"376","11"
"377","8"
"378","8"
"379","9"
"380","7"
"381","9"
"382","11"
"383","8"
"384","10"
"385","9"
"386","10"
"387","8"
"388","10"
"389","7"
"390","9"
"391","11"
"392","14"
"393","10"
"394","11"
"395","11"
"396","9"
"397","12"
"398","13"
"399","10"
"400","14"
"401","14"
"402","12"
"403","13"
"404","9"
"405","14"
"406","13"
"407","10"
"408","12"
"409","11"
"410","9"
"411","11"
"412","14"
"413","14"
"414","13"
"415","12"
"416","11"
"417","10"
"418","11"
"419","10"
"420","13"
"421","9"
"422","11"
"423","9"
"424","6"
"425","10"
"426","8"
"427","9"
"428","9"
"429","6"
"430","10"
"431","9"
"432","12"
"433","13"
"434","18"
"435","12"
"436","14"
"437","15"
"438","12"
"439","13"
"440","14"
"441","10"
"442","13"
"443","12"
"444","13"
"445","13"
"446","15"
"447","9"
"448","8"
"449","9"
"450","12"
"451","12"
"452","10"
"453","10"
"454","13"
"455","16"
"456","14"
"457","15"
"458","17"
"459","17"
"460","14"
"461","13"
"462","14"
"463","15"
"464","18"
"465","16"
"466","11"
"467","13"
"468","11"
"469","14"
"470","14"
"471","13"
"472","13"
"473","14"
"474","13"
"475","10"
"476","9"
"477","12"
"478","14"
"479","15"
"480","12"
"481","11"
"482","12"
"483","12"
"484","14"
"485","10"
"486","10"
"487","11"
"488","10"
"489","9"
"490","10"
"491","9"
"492","11"
"493","10"
"494","11"
"495","10"
"496","6"
"497","7"
"498","11"
"499","10"
"500","9"
"501","4"
"502","7"
"503","11"
"504","12"
"505","15"
"506","13"
"507","15"
"508","18"
"509","15"
"510","16"
"511","12"
"512","19"
"513","12"
"514","14"
"515","10"
"516","8"
"517","15"
"518","10"
"519","12"
"520","8"
"521","10"
"522","8"
"523","12"
"524","11"
"525","15"
"526","15"
"527","11"
"528","14"
"529","8"
"530","9"
"531","10"
"532","6"
"533","8"
"534","8"
"535","6"
"536","7"
"537","8"
"538","10"
"539","4"
"540","5"
"541","9"
"542","7"
"543","12"
"544","7"
"545","8"
"546","7"
"547","8"
"548","7"
"549","11"
"550","9"
"551","12"
"552","9"
"553","8"
"554","6"
"555","7"
"556","8"
"557","10"
"558","8"
"559","8"
"560","11"
"561","13"
"562","9"
"563","12"
"564","16"
"565","11"
"566","14"
"567","17"
"568","13"
"569","15"
"570","14"
"571","13"
"572","15"
"573","12"
"574","13"
"575","12"
"576","12"
"577","14"
"578","16"
"579","18"
"580","16"
"581","22"
"582","16"
"583","15"
"584","19"
"585","14"
"586","12"
"587","11"
"588","11"
"589","16"
"590","16"
"591","15"
"592","11"
"593","13"
"594","16"
"595","17"
"596","16"
"597","13"
"598","16"
"599","16"
"600","13"
"601","15"
"602","17"
"603","13"
"604","16"
"605","11"
"606","18"
"607","17"
"608","15"
"609","16"
"610","18"
"611","18"
"612","15"
"613","15"
"614","15"
"615","14"
"616","16"
"617","19"
"618","19"
"619","16"
"620","21"
"621","17"
"622","16"
"623","12"
"624","12"
"625","13"
"626","14"
"627","9"
"628","10"
"629","13"
"630","12"
"631","15"
"632","15"
"633","16"
"634","10"
"635","14"
"636","15"
"637","16"
"638","15"
"639","14"
"640","20"
"641","15"
"642","15"
"643","8"
"644","9"
"645","10"
"646","10"
"647","14"
"648","13"
"649","14"
"650","14"
"651","12"
"652","11"
"653","8"
"654","12"
"655","14"
"656","13"
"657","11"
"658","9"
"659","9"
"660","12"
"661","7"
"662","8"
"663","6"
"664","10"
"665","10"
"666","11"
"667","13"
"668","9"
"669","8"
"670","6"
"671","7"
"672","7"
"673","8"
"674","6"
"675","7"
"676","5"
"677","13"
"678","10"
"679","11"
"680","11"
"681","12"
"682","14"
"683","14"
"684","13"
"685","11"
"686","9"
"687","12"
"688","9"
"689","8"
"690","8"
"691","6"
"692","9"
"693","9"
"694","11"
"695","6"
"696","7"
"697","7"
"698","9"
"699","9"
"700","13"
"701","14"
"702","13"
"703","11"
"704","13"
"705","16"
"706","14"
"707","10"
"708","13"
"709","16"
"710","11"
"711","11"
"712","10"
"713","12"
"714","11"
"715","15"
